idx,scene_id,prompt,freq
1,neon_meeting,"Two strangers meet under a neon-lit bridge, their eyes locking across the rain-soaked street. The city pulses with electric energy as they approach each other.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
2,digital_connection,"They exchange neural interface codes, their digital signatures intertwining in the air. Holographic hearts float around them as they connect on a deeper level.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
3,data_dance,"They dance together in a virtual club, their avatars moving in perfect sync. The music is pure data, and their connection transcends the physical world.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
4,neural_kiss,"In a moment of pure connection, they share a neural kiss - their minds merging briefly, sharing memories, dreams, and emotions in a single digital moment.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
5,cyber_escape,"They escape to a rooftop garden, a hidden oasis in the digital city. Here, away from the noise, they can be truly themselves - both human and digital.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
6,data_storm,"A digital storm approaches, threatening to separate them. They hold hands tightly as the city's systems begin to glitch and flicker around them.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
7,neural_bond,"They create a permanent neural bond, their digital signatures merging into one. The city around them stabilizes as their love becomes the anchor in the chaos.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
8,digital_home,"They find their digital home together, a place where they can exist as both human and digital beings. The city welcomes them as a new kind of family.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"
9,cyberpunk_forever,"They look out over the city together, knowing that their love has transcended the boundaries between human and digital. They are the future of love.","{""base_color"":""Neon pink and electric blue"",""emotional_palette"":[""romance"",""anticipation""],""narrative_motif"":""Digital love in a cyberpunk world"",""camera_bias"":""35mm, intimate close-ups, shallow DoF"",""weights"":{""cyberpunk"":0.8,""romance"":0.9,""intimate"":0.8}}"

